Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Rwanda Girls Initiative,ADBWDEJP,Tier 6 (<$5K),"Q30: International Development, Relief Services",26-3503023,"$21,917","$7,780","$29,697",International Affairs,International Affairs - General
The LA Local,AHNZCRHW,,A30,99-0676194,"$29,477",$115,"$29,592",,
The LA Local,AVZESPQR,,"A30: Media, Communications Organizations",99-0676194,$100,$0,$100,Arts & Culture,Arts & Culture - Media
Angiosarcoma Awareness LLC,AGRLQJGL,Tier 6 (<$5K),T30: Public Foundations,27-3363947,"$27,083","$2,600","$29,684",Public and Society Benefit,Public & Society Benefit - General
El Sistema USA,AEYBYPAX,Tier 5 ($5K–10K),A68: Music,46-2483315,"$17,918","$11,732","$29,649",Arts & Culture,Arts & Culture - General
Medal of Honor Foundation,ALDUWWFV,,A118,25-1828488,"$28,202","$1,274","$29,476",,
The Gorilla Foundation,AHRUZGMQ,Tier 6 (<$5K),"D34: Wildlife Sanctuary, Refuge",94-2386151,"$28,834",$581,"$29,414",Animal Welfare,Animal Welfare - General
Desmog,AZQMBDKD,Tier 6 (<$5K),R60: Civil Liberties Advocacy,,"$15,399","$14,012","$29,411",Human Services,"Human Services - Civil Rights, Social Justice"
Growing Up Boulder,AJBWVKND,,,,"$28,591",$813,"$29,405",Education,K-12 Education
Amigos de los Niños,ANYPKSDY,,,,"$29,300",$0,"$29,300",,
Cantian Fund,AZRPUALT,,,,"$15,443","$13,783","$29,226",,
Fundación Pachamama,ADJYEWHZ,,,,"$13,891","$15,319","$29,210",,
Teach For Malaysia,ABLLKSQZ,Tier 5 ($5K–10K),B00: Educational Institutions,,"$19,497","$9,693","$29,189",Education,Education - General
As-Subah Trust,ANXWABHL,Tier 5 ($5K–10K),,,"$19,324","$9,767","$29,091",,
Miracle Camp and Retreat Center,APNVQLMT,Tier 6 (<$5K),,38-1840807,$0,"$28,887","$28,887",Human Services,Human Services - Sports & Youth Development
Adult & Teen Challenge,AHUTCRCR,Tier 6 (<$5K),,,"$22,801","$6,028","$28,830",Human Services,Human Services - Sports & Youth Development
H&I Canada,ABWWQWRG,Tier 5 ($5K–10K),,,"$18,851","$9,972","$28,823",,
On Point,ALYGYEYX,Tier 6 (<$5K),E70,68-0533402,"$24,303","$4,508","$28,811",,
The Help Group,ARMJDMTW,,P20: Human Service Organizations,46-4834197,"$28,801",$0,"$28,801",Human Services,Human Services - General
Make Food Not Waste,AJWNBTWA,Tier 5 ($5K–10K),"K30: Food Service, Free Food Distribution Programs",85-3423759,"$24,117","$4,639","$28,756",Food & Nutrition,Food Banks
Calvary International Development Ministries,GFWHSFJT,Tier 6 (<$5K),P20,45-3326964,"$7,380","$21,311","$28,691",,
CCSA Foundation,AMNLFWEV,Tier 6 (<$5K),B20,20-3297449,"$20,636","$8,023","$28,659",Arts & Culture,Arts & Culture - General
Nativity Prep Academy,ACFQZWHP,Tier 6 (<$5K),,,"$19,513","$9,134","$28,648",Education,K-12 Education
Pastor Jeff Ministries,AFSZUFAA,,X20: Christian,,"$26,104","$2,531","$28,635",Religion,Religion - Christian
NMDP México,AECBTWQF,Tier 6 (<$5K),,,"$21,543","$7,080","$28,623",,
Shenandoah Valley Adult Teen Challenge,ALNDXMPZ,Tier 6 (<$5K),,,"$10,941","$17,639","$28,580",Religion,Religion - Christian
Elephante Commons,ASTNGVXF,,P20,92-3058052,"$1,319","$27,249","$28,568",,
The Lucy Project,ATLRJSPT,Tier 6 (<$5K),"B92: Remedial Reading, Reading Encouragement Programs",85-0721345,"$17,826","$10,703","$28,529",Education,Education - General
Feminist Majority Foundation,AGLUFQSM,Tier 4 ($10K–$20K),R24: Womens Rights,54-1426440,"$28,157",$360,"$28,517",Human Services,"Human Services - Civil Rights, Social Justice"
Women's Health Clinic,AVZVXCMM,,,,"$25,683","$2,817","$28,500",,
CKC Farming,AGPXNSSF,,C60: Environmental Education,,"$23,300","$5,181","$28,482",Environment,Environment - General
Forget Me Not Children's Services,AETBXXHC,Tier 6 (<$5K),,,"$19,514","$8,960","$28,473",,
WA-BLOC,AERWEPHZ,Tier 6 (<$5K),,,"$9,703","$18,638","$28,342",,
Rhiza Coffee Co.,AMMDEGSZ,Tier 5 ($5K–10K),X20: Christian,85-1215634,"$7,373","$20,881","$28,254",Religion,Religion - Christian
Humaniti INTL - OneParent,ANJTJMKV,Tier 6 (<$5K),,,"$5,691","$22,534","$28,225",,
Spokane County Republican Central Committee,ARBHDVMR,Tier 6 (<$5K),W01: Public and Societal Benefit Alliances and Advocacy,,"$8,550","$19,660","$28,210",Public and Society Benefit,Public & Society Benefit - General
Sierra Nevada Journeys,AYEGYVMY,Tier 4 ($10K–$20K),"O50: Youth Development Programs, Other",01-0881587,"$21,480","$6,729","$28,209",Human Services,Human Services - Sports & Youth Development
756 Dark,ADTRBPEA,,P99,99-4040827,"$27,002","$1,157","$28,159",Arts & Culture,Arts & Culture - Media
Boys & Girls Clubs of Sonoma Valley,ABCAEXNT,Tier 6 (<$5K),"O20: Youth Centers, Boys and Girls Clubs",94-1579901,"$27,217",$911,"$28,128",Human Services,Human Services - Sports & Youth Development
Variety of Texas,AZDCHLCP,Tier 6 (<$5K),S80: Community Service Clubs,,"$26,771","$1,319","$28,090",Public and Society Benefit,Public & Society Benefit - General
Sound,ASCHVUQP,Tier 6 (<$5K),F32: Community Mental Health Center,91-0818971,"$21,692","$6,336","$28,028",Healthcare,"Healthcare - Mental Health, Abuse"
Overflow 9:12,AUZXDHUE,Tier 6 (<$5K),,,"$19,118","$8,876","$27,995",Human Services,Human Services - General
National Employment Law Project,AWNWREEH,Tier 3 ($20K–$50K),"J00: Employment, Job Related: General",13-2758558,"$24,583","$3,390","$27,973",Public and Society Benefit,"Public & Society Benefit - Employment, Job"
Table Church,ATDVHZDV,Tier 6 (<$5K),,,"$10,351","$17,570","$27,920",,
Catholic Theological Union,AYHUKJCG,Tier 6 (<$5K),,,"$24,835","$3,063","$27,898",Education,Higher Education
Renewal Ministries,ADFQQQGF,Tier 4 ($10K–$20K),X20: Christian,38-2385975,"$11,095","$16,785","$27,880",Religion,Religion - Christian
API Legal Outreach,APDNNSGT,Tier 6 (<$5K),,,"$26,931",$940,"$27,871",,
Council for Exceptional Children,ABCEBVPY,Tier 6 (<$5K),B03: Education Professional Societies and Associations,52-0886495,"$21,380","$6,434","$27,814",Education,Education - General
BabiesNeedBottoms,ATNDUDWK,Tier 6 (<$5K),P50: Personal Social Services,,"$20,163","$7,523","$27,686",Human Services,Human Services - General
Depaul Ireland (UK),AFQWRZTU,,,,"$26,692",$947,"$27,639",,
Leadership Ministries Worldwide,AEHPVRLQ,Tier 6 (<$5K),X20: Christian,57-0957346,"$27,213",$398,"$27,611",Religion,Religion - Christian
Global Citizen,AFAJWRUR,Tier 4 ($10K–$20K),Q33: International Relief,61-2247103,"$24,234","$3,343","$27,577",International Affairs,International Affairs - General
National Museum of the American Latino,AWPTDYZS,,,,"$25,986","$1,585","$27,571",,
National Fair Housing Alliance,AUNGPGPB,Tier 6 (<$5K),,52-1676364,"$27,479",$21,"$27,500",,
Herobox,AFJPVGTE,,W30,26-3985630,"$22,611","$4,876","$27,487",,
Indus Health Australia,AGGDGAAL,,,,"$16,820","$10,631","$27,451",,
Boys & Girls Clubs of Benton and Franklin Counties,AVAMSTWF,Tier 3 ($20K–$50K),O23,91-1673327,"$23,264","$4,171","$27,435",Human Services,Human Services - Sports & Youth Development
"ERIC, The Children's Bowel and Bladder Charity",AJABEPNY,Tier 6 (<$5K),,,"$23,692","$3,734","$27,425",,
"Project 61, Inc",ABVTBFYP,,E70,33-1287493,"$27,208",$210,"$27,417",Healthcare,Healthcare - General
The Community Foundation for McHenry County,ADHNJJUP,Tier 6 (<$5K),T31,36-4465219,"$23,717","$3,647","$27,364",Public and Society Benefit,Public & Society Benefit - General
Touch The World,ALQAYVRD,Tier 6 (<$5K),X20,22-3092951,"$27,300",$27,"$27,327",Religion,Religion - Christian
Filling in the Blanks,AXNNBZKW,Tier 6 (<$5K),P60,46-4980002,$0,"$27,308","$27,308",Food & Nutrition,Food Banks
One Drop Foundation,AFFWWPES,Tier 5 ($5K–10K),C11: Environment Single Organization Support,26-3242787,"$21,972","$5,245","$27,217",Environment,Environment - General
Fathers' Uplift,ASKRQRDP,Tier 5 ($5K–10K),P20,46-1407932,"$19,400","$7,774","$27,174",Human Services,Human Services - General
The Brotherhood of St. Christoph,AXREAEDN,Tier 5 ($5K–10K),,,"$24,947","$2,226","$27,174",,
Rebuilding Together Seattle,AGYHKTVB,Tier 6 (<$5K),Z99Z,91-1606330,"$26,195",$928,"$27,123",Human Services,"Human Services - Housing, Shelter"
The Fletcher Foundation,AEXJZCZJ,Tier 6 (<$5K),T90,38-3558309,"$16,931","$10,106","$27,037",Human Services,Human Services - General
Looking Glass Animal Rescue,ATKWBQDZ,Tier 6 (<$5K),D20,81-0810006,"$19,377","$7,653","$27,030",Animal Welfare,Animal Welfare - General
Sea Shepherd New Zealand,ASJFJLGG,,,,"$7,830","$19,177","$27,007",,
Alzheimer’s Disease Research,ABLMUZMD,,H83,52-2396428,"$26,134",$827,"$26,961",,
Redd Fish Restoration Society,AHYMNLHB,Tier 6 (<$5K),,,"$23,316","$3,640","$26,956",,
International Gospel Tellers,AQQJZKUP,Tier 6 (<$5K),X20: Christian,88-1565643,"$12,263","$14,678","$26,941",Religion,Religion - Christian
Smile Train Canada Foundation,ABTMMVRY,,,,"$22,137","$4,793","$26,930",,
San Francisco YIMBY,ARRDGTDL,,,,$0,"$26,881","$26,881",,
Yoga Behind Bars,AYNRWMDE,Tier 6 (<$5K),P50: Personal Social Services,20-8867242,"$18,397","$8,393","$26,790",Human Services,Human Services - General
VWB USA,AMZRUYKQ,,,,"$24,646","$2,134","$26,780",,
Bethanna,AMVGNVUF,Tier 6 (<$5K),P300,23-1649667,"$15,496","$11,244","$26,740",Human Services,Human Services - General
Make. Do.,AVCBWMQA,Tier 6 (<$5K),,,"$10,676","$16,027","$26,703",,
Signal Statewide,AUVBNETQ,,,,"$20,790","$5,838","$26,628",,
Family Service of Chester County,AKLUXTXE,Tier 6 (<$5K),P40: Family Services,23-1726329,"$21,315","$5,303","$26,618",Human Services,Human Services - General
Sequoia Living,ASFKMFDS,Tier 6 (<$5K),P750,94-1437728,"$20,101","$6,418","$26,519",Human Services,Human Services - General
"Rescue P.A.W.S, a project of Educate Rescue Empower (ERE)",APVVKFQL,,,,"$24,496","$2,020","$26,516",,
Reaching Care,AGATGJCW,,E70: Public Health Programs,87-4065518,"$19,549","$6,944","$26,493",Healthcare,Healthcare - General
Footscray Community Arts,AGLUDPCM,Tier 6 (<$5K),,,"$25,943",$541,"$26,484",,
Fundación Costa Palmas,AZCLFTCH,,,,"$26,483",$0,"$26,483",,
Operation Rescue Children,AAEPQLJT,,P60: Emergency Assistance,87-1601305,"$15,561","$10,913","$26,474",Human Services,Human Services - General
Farm Animal Rights Movement,ADWVDSBA,Tier 6 (<$5K),D20: Animal Protection and Welfare,,"$16,692","$9,654","$26,345",Animal Welfare,Animal Welfare - General
Mareas Montessori,AZUPRXBB,,,,"$20,425","$5,895","$26,320",,
National Children's Alliance,AKCBWXYJ,Tier 5 ($5K–10K),"I72: Child Abuse, Prevention of",63-1044781,"$24,613","$1,615","$26,229",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Family SkillBuilders,ANPSBDDG,Tier 6 (<$5K),P40: Family Services,87-3188779,"$21,185","$5,033","$26,217",Human Services,Human Services - General
Asia for Animals Coalition,AVNYYGAL,Tier 5 ($5K–10K),,,"$22,188","$3,979","$26,167",,
Tessa Productions,VWHJVTSU,,"R20: Civil Rights, Advocacy for Specific Groups",,"$21,312","$4,802","$26,114",Human Services,"Human Services - Civil Rights, Social Justice"
Live Ocean Foundation,ASQXVDGM,Tier 6 (<$5K),"D30: Wildlife Preservation, Protection",85-1066585,"$21,480","$4,609","$26,089",Animal Welfare,Animal Welfare - General
Rise Recovery,ARLCJNAX,Tier 6 (<$5K),"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",74-2216041,"$23,793","$2,260","$26,053",Healthcare,"Healthcare - Mental Health, Abuse"
From Your Father Inc.,AVPVLMDH,Tier 6 (<$5K),P60,81-1460347,"$17,908","$8,132","$26,040",Human Services,Human Services - General
Willow,AGEXAJDG,,,,"$25,669",$323,"$25,992",,
Ironbound Boxing & Education,AFWJSRTG,Tier 6 (<$5K),"N60: Amateur Sports Clubs, Leagues",81-4215296,"$13,220","$12,745","$25,965",Human Services,Human Services - Sports & Youth Development
Kingston Emergency Food Collaborative,ACCBMUUN,,,,"$23,023","$2,938","$25,962",,
Jalen Hurts Foundation,AHTHJKTN,,O50,93-4399083,"$22,436","$3,495","$25,932",,
Envisage Pregnancy Services,ABPBCMDR,,,,"$25,930",$0,"$25,930",,
Patrons of Sacred Music,ATDKRNLH,,,,"$20,485","$5,434","$25,919",,
CAMFED (AUS),AXGCUCSF,,,,"$15,831","$9,999","$25,830",,
Family Hope Foundation,AKQCGEXG,Tier 6 (<$5K),G84: Autism,26-4505914,"$21,991","$3,811","$25,802",Healthcare,Healthcare - General
xxArise Baking Co.,AAYCZCJK,,,,"$7,450","$18,302","$25,752",,
Muslims Giving Back,AYJKMSTF,Tier 4 ($10K–$20K),K31,82-2712941,$0,"$25,701","$25,701",Food & Nutrition,Food Banks
Friends of the Chicago Harbor Lighthouse,AVBAHAEB,,A54,88-1249544,"$25,037",$632,"$25,669",,
Ütz B'ey Guatemala,AQPXCQMF,Tier 5 ($5K–10K),,,"$23,417","$2,204","$25,620",,
Felidae Conservation Fund,ALBDGKRX,Tier 6 (<$5K),"D30: Wildlife Preservation, Protection",20-5089093,"$21,549","$4,052","$25,601",Animal Welfare,Animal Welfare - General
SMILE Canada,AGGRWZSV,,,,"$18,094","$7,472","$25,565",,
Priority Impact Foundation,ANYVGUVY,Tier 6 (<$5K),C34,88-1036367,"$22,619","$2,938","$25,557",Environment,Environment - General
HumanKind Ministries,AMAMUEBV,,,,"$24,821",$701,"$25,522",,
CRISTA Senior Living,AYMKYFXK,,,,"$9,478","$16,040","$25,517",,
Habitat for Humanity 7 Rivers Maine,ASVPUUPH,Tier 6 (<$5K),"L20: Housing Development, Construction, Management",,"$16,495","$8,972","$25,467",Human Services,"Human Services - Housing, Shelter"
Issaquah Schools Foundation,ALUFGMEC,,,94-3050254,"$25,409",$54,"$25,463",,
The Conservation Volunteers,AGPABEBG,Tier 4 ($10K–$20K),,,"$20,944","$4,515","$25,459",,
The Civic Standard,AWEUNZPA,,"A20: Arts, Cultural Organizations",88-2597791,"$19,137","$6,291","$25,428",Arts & Culture,Arts & Culture - General
Fundacion Bendision,ACHPDVGW,,,,"$6,846","$18,576","$25,421",,
Blood Cancer United,AJRRRDLW,Tier 1 ($100K+),G300,13-5644916,"$2,003","$23,370","$25,373",,
Turku Islamic Cultural Center Foundation,ACQQCMFM,,,,"$20,010","$5,351","$25,361",,
A Better Way,AWHSEDZR,Tier 6 (<$5K),P70Z,93-1190792,"$24,547",$798,"$25,345",Human Services,Human Services - General
Dutchess County SPCA,AUMBHUUY,Tier 5 ($5K–10K),D200,14-1340058,$265,"$24,991","$25,256",,
Deaconess Pregnancy and Adoption,AQRPASMG,Tier 5 ($5K–10K),,,"$5,755","$19,462","$25,217",Human Services,"Human Services - Housing, Shelter"
Lachine Hospital Foundation,AQJVQLCC,,,,"$25,163",$49,"$25,212",,
Trilith Foundation,ALVSADQD,Tier 4 ($10K–$20K),T31,85-4305492,"$22,001","$3,194","$25,195",Public and Society Benefit,Public & Society Benefit - General
Sankofa,AEPMERZU,Tier 6 (<$5K),"A23: Cultural, Ethnic Awareness",47-4149526,"$22,317","$2,831","$25,148",Arts & Culture,Arts & Culture - General
Alzheimer Society of Waterloo Wellington,AKQARWCC,,,,"$25,076",$0,"$25,076",,
Love For Life Mission INC,AHWGXAQR,,,,"$20,344","$4,705","$25,049",,
1876 Athletic Foundation,APRDGNKQ,Tier 6 (<$5K),T50,88-3514139,"$11,098","$13,910","$25,008",Public and Society Benefit,Public & Society Benefit - General
SPCA International PAWsitive Recovery,AZAAVTGW,Tier 6 (<$5K),,,"$13,899","$11,102","$25,001",,
The Joan Trumpauer Mulholland Foundation,AAUKBNFK,Tier 6 (<$5K),O99,46-3943934,"$19,671","$5,316","$24,987",Human Services,"Human Services - Civil Rights, Social Justice"
Najam Relief,AXTBWXJK,,,,"$3,951","$21,013","$24,965",,
Every Home Global Concern,AQVGBJGW,,,,"$24,714",$240,"$24,954",,
Orchestrated Impact,AUSADGMQ,,,,"$24,674",$265,"$24,939",,
WomenHeart,AALWZWMU,Tier 6 (<$5K),,,"$17,303","$7,580","$24,883",,
American Sexual Health Association,AYNNEMPD,Tier 6 (<$5K),E40,94-2494435,"$21,231","$3,576","$24,807",,
Scalawag Magazine,AQAYMXFT,Tier 6 (<$5K),,,"$23,580","$1,223","$24,803",,
Sunbeams Uganda,AZUMHZZU,Tier 6 (<$5K),"Q12: International, Foreign Affairs and National Security Fund Raising and Fund Distribution",87-2084140,"$12,980","$11,776","$24,756",International Affairs,International Affairs - General
Easter Seals Colorado,AXEQNTXT,,E50Z,84-0412575,"$24,040",$710,"$24,750",,
Seton Shrine,AGYDWEEC,Tier 6 (<$5K),,,"$24,048",$697,"$24,746",Religion,Religion - General
Fundación Lo Que De Verdad Importa,AZPJHGQM,,,,"$24,388",$330,"$24,718",,
St. Vincent de Paul Society of St. Joseph County,AZBTGUPD,Tier 5 ($5K–10K),,,"$1,158","$23,554","$24,712",,
METRO,AQYCANMR,,G99,30-0153829,"$24,241",$446,"$24,687",,
California Trout,AMLFWAQW,Tier 4 ($10K–$20K),"D30: Wildlife Preservation, Protection",23-7097680,"$24,585",$59,"$24,644",Animal Welfare,Animal Welfare - General
Divergent Impact Fund,AASWYAHP,,,,"$24,643",$0,"$24,643",,
"Women's Health Services, Inc.",ADMHWSTU,Tier 6 (<$5K),E40,85-2094784,"$17,484","$7,125","$24,609",Healthcare,Healthcare - General
Inheritance Theater Project,ARWDHBTV,Tier 6 (<$5K),,,"$22,309","$2,236","$24,546",,
Missional Labs,AARMAANU,Tier 5 ($5K–10K),X21,88-3516168,"$6,020","$18,454","$24,474",Religion,Religion - Christian
Mohawk Hudson Humane Society,AZUMXHTQ,Tier 4 ($10K–$20K),,,"$23,385","$1,083","$24,468",,
Freedom For Animals,AUXKBRND,,,,"$21,966","$2,457","$24,423",,
St. Croix Leatherback Project,AJXEPDQR,,,,"$23,195","$1,220","$24,415",,
The Dad Shift,AWUMLUEB,Tier 6 (<$5K),,,"$13,596","$10,806","$24,402",,
Feeding God's Children,AMCYTLFL,Tier 5 ($5K–10K),,,"$13,227","$11,152","$24,380",Healthcare,Healthcare - General
Airo Healthcare Inc,AHMREGGU,Tier 6 (<$5K),Q33: International Relief,46-1987584,"$17,084","$7,286","$24,370",International Affairs,International Affairs - General
MomsHope,ANLMSTHH,Tier 6 (<$5K),P99,83-2030014,"$20,238","$4,119","$24,357",,
Girl Scouts of the Colonial Coast,AYSEDGYR,Tier 6 (<$5K),O40: Scouting Organizations,,"$11,461","$12,881","$24,342",Human Services,Human Services - Sports & Youth Development
Op Horizon - DIRECT,AWDCKBEN,,,,"$20,794","$3,506","$24,300",,
The Islamic Seminary of America,ANEUKNSX,,B99,45-3207248,"$23,870",$328,"$24,198",,
The Bears Ears Partnership,ACWGCBPP,,,,"$18,142","$6,049","$24,191",,
Bringing Music To Life,AHJFTPKC,,,,"$22,739","$1,421","$24,160",,
Bomberos de Todos Santos,AUALBUMD,,,,"$1,462","$22,694","$24,156",,
OneSight US,AXTEGNDQ,,,,"$23,711",$421,"$24,132",,
The Hotel For Homeless Dogs,ARTTTLNB,Tier 6 (<$5K),,,"$14,187","$9,822","$24,009",,
Freunde alter Menschen e. V.,AYYJTVBJ,,,,"$23,781",$191,"$23,972",,
Wonderfully Made Community,ANFYNLXK,,P82: Developmentally Disabled Centers and Services,99-3069159,"$23,855",$108,"$23,964",Human Services,"Human Services - Housing, Shelter"
Porpoise Conservation Society,AFTMYLAD,Tier 4 ($10K–$20K),D31: Protection of Endangered Species,,"$19,399","$4,561","$23,960",Animal Welfare,Animal Welfare - General
African Library Project,AXKZQYJV,,Q30,65-1261685,"$23,005",$954,"$23,958",,
WKRF,AUKCHVHJ,,,,"$23,933",$0,"$23,933",,
Big Brothers Big Sisters of the Central Blue Ridge,ANKUAPFL,Tier 6 (<$5K),"O30: Adult, Child Matching Programs",54-1108066,"$23,586",$325,"$23,911",Human Services,Human Services - Sports & Youth Development
Card For Change,ACBDMHDY,Tier 6 (<$5K),,,"$22,324","$1,568","$23,892",,
Rondine Cittadella della Pace,AJGXWUYF,Tier 6 (<$5K),,,"$18,131","$5,729","$23,860",,
Dar Al Farooq Center,AUAMQYMT,Tier 6 (<$5K),X20: Christian,41-1901842,"$9,377","$14,459","$23,836",Religion,Religion - Christian
Center for Art and Advocacy,AVVACTRW,Tier 5 ($5K–10K),,,"$23,774",$0,"$23,774",Arts & Culture,Arts & Culture - Media
The Hills Retreat,ABBZKNUF,,,,"$22,880",$852,"$23,732",,
Curing Women’s Cancer,AMJCBGKD,,,,"$22,297","$1,425","$23,722",,
Clear Currents,AREWCVBZ,Tier 6 (<$5K),C12,38-4234980,"$22,924",$739,"$23,663",Environment,Environment - General
Youth Leadership Institute,ANEZWCHS,Tier 5 ($5K–10K),,68-0184712,"$18,220","$5,344","$23,564",Human Services,Human Services - Sports & Youth Development
A Radical Guide,ANTLDFTD,Tier 6 (<$5K),W01: Public and Societal Benefit Alliances and Advocacy,99-2242457,"$7,480","$16,057","$23,537",Public and Society Benefit,Public & Society Benefit - General
Muslim Advisory Council of Canada,ABCZDJEU,Tier 6 (<$5K),,,"$14,680","$8,820","$23,500",,
United Way of Southern Nevada,AZQMXEBT,Tier 5 ($5K–10K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",88-0071328,"$22,571",$906,"$23,476",Public and Society Benefit,Public & Society Benefit - General
"Wild for the Nations, Inc.",ARFEVSPF,Tier 5 ($5K–10K),X20,82-5068089,"$19,479","$3,996","$23,475",Religion,Religion - Christian
